Time	Total iterations	Partial iterations	k	lambda
0	1000	900	5.0	0.001
16	1000	900	5.0	0.01
0	1000	900	5.0	0.1
0	1000	900	5.0	1.0
0	1000	900	25.0	0.001
16	1000	900	25.0	0.01
0	1000	900	25.0	0.1
0	1000	900	25.0	1.0
15	1000	900	125.0	0.001
0	1000	900	125.0	0.01
0	1000	900	125.0	0.1
0	1000	900	125.0	1.0
16	1000	1000	1.0	0.001
0	1000	1000	1.0	0.01
0	1000	1000	1.0	0.1
16	1000	1000	1.0	1.0
4	1000	1000	5.0	0.001
0	1000	1000	5.0	0.01
0	1000	1000	5.0	0.1
0	1000	1000	5.0	1.0
16	1000	1000	25.0	0.001
0	1000	1000	25.0	0.01
0	1000	1000	25.0	0.1
15	1000	1000	25.0	1.0
0	1000	1000	125.0	0.001
0	1000	1000	125.0	0.01
0	1000	1000	125.0	0.1
16	1000	1000	125.0	1.0
0	2000	100	1.0	0.001
16	2000	100	1.0	0.01
0	2000	100	1.0	0.1
15	2000	100	1.0	1.0
0	2000	100	5.0	0.001
16	2000	100	5.0	0.01
0	2000	100	5.0	0.1
18	2000	100	5.0	1.0
2	2000	100	25.0	0.001
16	2000	100	25.0	0.01
0	2000	100	25.0	0.1
0	2000	100	25.0	1.0
15	2000	100	125.0	0.001
16	2000	100	125.0	0.01
0	2000	100	125.0	0.1
0	2000	100	125.0	1.0
16	2000	200	1.0	0.001
0	2000	200	1.0	0.01
15	2000	200	1.0	0.1
0	2000	200	1.0	1.0
23	2000	200	5.0	0.001
9	2000	200	5.0	0.01
9	2000	200	5.0	0.1
4	2000	200	5.0	1.0
9	2000	200	25.0	0.001
9	2000	200	25.0	0.01
9	2000	200	25.0	0.1
3	2000	200	25.0	1.0
0	2000	200	125.0	0.001
16	2000	200	125.0	0.01
0	2000	200	125.0	0.1
0	2000	200	125.0	1.0
15	2000	300	1.0	0.001
18	2000	300	1.0	0.01
2	2000	300	1.0	0.1
0	2000	300	1.0	1.0
16	2000	300	5.0	0.001
0	2000	300	5.0	0.01
16	2000	300	5.0	0.1
0	2000	300	5.0	1.0
15	2000	300	25.0	0.001
0	2000	300	25.0	0.01
16	2000	300	25.0	0.1
0	2000	300	25.0	1.0
16	2000	300	125.0	0.001
0	2000	300	125.0	0.01
15	2000	300	125.0	0.1
0	2000	300	125.0	1.0
20	2000	400	1.0	0.001
0	2000	400	1.0	0.01
16	2000	400	1.0	0.1
0	2000	400	1.0	1.0
16	2000	400	5.0	0.001
0	2000	400	5.0	0.01
15	2000	400	5.0	0.1
0	2000	400	5.0	1.0
0	2000	400	25.0	0.001
16	2000	400	25.0	0.01
17	2000	400	25.0	0.1
4	2000	400	25.0	1.0
8	2000	400	125.0	0.001
9	2000	400	125.0	0.01
11	2000	400	125.0	0.1
3	2000	400	125.0	1.0
0	2000	500	1.0	0.001
15	2000	500	1.0	0.01
0	2000	500	1.0	0.1
16	2000	500	1.0	1.0
0	2000	500	5.0	0.001
16	2000	500	5.0	0.01
0	2000	500	5.0	0.1
15	2000	500	5.0	1.0
0	2000	500	25.0	0.001
16	2000	500	25.0	0.01
0	2000	500	25.0	0.1
17	2000	500	25.0	1.0
3	2000	500	125.0	0.001
0	2000	500	125.0	0.01
16	2000	500	125.0	0.1
0	2000	500	125.0	1.0
15	2000	600	1.0	0.001
0	2000	600	1.0	0.01
16	2000	600	1.0	0.1
0	2000	600	1.0	1.0
16	2000	600	5.0	0.001
15	2000	600	5.0	0.01
0	2000	600	5.0	0.1
0	2000	600	5.0	1.0
16	2000	600	25.0	0.001
17	2000	600	25.0	0.01
3	2000	600	25.0	0.1
0	2000	600	25.0	1.0
16	2000	600	125.0	0.001
0	2000	600	125.0	0.01
15	2000	600	125.0	0.1
0	2000	600	125.0	1.0
16	2000	700	1.0	0.001
15	2000	700	1.0	0.01
0	2000	700	1.0	0.1
16	2000	700	1.0	1.0
0	2000	700	5.0	0.001
16	2000	700	5.0	0.01
0	2000	700	5.0	0.1
19	2000	700	5.0	1.0
8	2000	700	25.0	0.001
7	2000	700	25.0	0.01
0	2000	700	25.0	0.1
16	2000	700	25.0	1.0
0	2000	700	125.0	0.001
15	2000	700	125.0	0.01
0	2000	700	125.0	0.1
16	2000	700	125.0	1.0
0	2000	800	1.0	0.001
15	2000	800	1.0	0.01
16	2000	800	1.0	0.1
0	2000	800	1.0	1.0
0	2000	800	5.0	0.001
21	2000	800	5.0	0.01
0	2000	800	5.0	0.1
0	2000	800	5.0	1.0
16	2000	800	25.0	0.001
15	2000	800	25.0	0.01
0	2000	800	25.0	0.1
0	2000	800	25.0	1.0
16	2000	800	125.0	0.001
16	2000	800	125.0	0.01
0	2000	800	125.0	0.1
0	2000	800	125.0	1.0
15	2000	900	1.0	0.001
0	2000	900	1.0	0.01
16	2000	900	1.0	0.1
0	2000	900	1.0	1.0
20	2000	900	5.0	0.001
0	2000	900	5.0	0.01
16	2000	900	5.0	0.1
0	2000	900	5.0	1.0
15	2000	900	25.0	0.001
0	2000	900	25.0	0.01
16	2000	900	25.0	0.1
0	2000	900	25.0	1.0
16	2000	900	125.0	0.001
0	2000	900	125.0	0.01
15	2000	900	125.0	0.1
0	2000	900	125.0	1.0
16	2000	1000	1.0	0.001
0	2000	1000	1.0	0.01
19	2000	1000	1.0	0.1
4	2000	1000	1.0	1.0
9	2000	1000	5.0	0.001
9	2000	1000	5.0	0.01
9	2000	1000	5.0	0.1
4	2000	1000	5.0	1.0
1	2000	1000	25.0	0.001
16	2000	1000	25.0	0.01
0	2000	1000	25.0	0.1
15	2000	1000	25.0	1.0
0	2000	1000	125.0	0.001
16	2000	1000	125.0	0.01
0	2000	1000	125.0	0.1
16	2000	1000	125.0	1.0
13	3000	100	1.0	0.001
4	3000	100	1.0	0.01
15	3000	100	1.0	0.1
0	3000	100	1.0	1.0
16	3000	100	5.0	0.001
15	3000	100	5.0	0.01
16	3000	100	5.0	0.1
0	3000	100	5.0	1.0
16	3000	100	25.0	0.001
20	3000	100	25.0	0.01
0	3000	100	25.0	0.1
15	3000	100	25.0	1.0
16	3000	100	125.0	0.001
0	3000	100	125.0	0.01
16	3000	100	125.0	0.1
15	3000	100	125.0	1.0
0	3000	200	1.0	0.001
16	3000	200	1.0	0.01
16	3000	200	1.0	0.1
0	3000	200	1.0	1.0
24	3000	200	5.0	0.001
16	3000	200	5.0	0.01
0	3000	200	5.0	0.1
16	3000	200	5.0	1.0
15	3000	200	25.0	0.001
0	3000	200	25.0	0.01
16	3000	200	25.0	0.1
16	3000	200	25.0	1.0
0	3000	200	125.0	0.001
20	3000	200	125.0	0.01
15	3000	200	125.0	0.1
0	3000	200	125.0	1.0
16	3000	300	1.0	0.001
16	3000	300	1.0	0.01
15	3000	300	1.0	0.1
0	3000	300	1.0	1.0
16	3000	300	5.0	0.001
16	3000	300	5.0	0.01
0	3000	300	5.0	0.1
3	3000	300	5.0	1.0
2	3000	300	25.0	0.001
15	3000	300	25.0	0.01
16	3000	300	25.0	0.1
0	3000	300	25.0	1.0
16	3000	300	125.0	0.001
15	3000	300	125.0	0.01
16	3000	300	125.0	0.1
0	3000	300	125.0	1.0
15	3000	400	1.0	0.001
21	3000	400	1.0	0.01
15	3000	400	1.0	0.1
0	3000	400	1.0	1.0
15	3000	400	5.0	0.001
16	3000	400	5.0	0.01
0	3000	400	5.0	0.1
15	3000	400	5.0	1.0
0	3000	400	25.0	0.001
16	3000	400	25.0	0.01
16	3000	400	25.0	0.1
0	3000	400	25.0	1.0
28	3000	400	125.0	0.001
7	3000	400	125.0	0.01
15	3000	400	125.0	0.1
0	3000	400	125.0	1.0
16	3000	500	1.0	0.001
16	3000	500	1.0	0.01
15	3000	500	1.0	0.1
0	3000	500	1.0	1.0
16	3000	500	5.0	0.001
17	3000	500	5.0	0.01
3	3000	500	5.0	0.1
0	3000	500	5.0	1.0
16	3000	500	25.0	0.001
15	3000	500	25.0	0.01
16	3000	500	25.0	0.1
0	3000	500	25.0	1.0
16	3000	500	125.0	0.001
15	3000	500	125.0	0.01
16	3000	500	125.0	0.1
0	3000	500	125.0	1.0
26	3000	600	1.0	0.001
13	3000	600	1.0	0.01
15	3000	600	1.0	0.1
5	3000	600	1.0	1.0
0	3000	600	5.0	0.001
16	3000	600	5.0	0.01
15	3000	600	5.0	0.1
16	3000	600	5.0	1.0
7	3000	600	25.0	0.001
20	3000	600	25.0	0.01
0	3000	600	25.0	0.1
16	3000	600	25.0	1.0
16	3000	600	125.0	0.001
0	3000	600	125.0	0.01
15	3000	600	125.0	0.1
16	3000	600	125.0	1.0
15	3000	700	1.0	0.001
0	3000	700	1.0	0.01
16	3000	700	1.0	0.1
18	3000	700	1.0	1.0
2	3000	700	5.0	0.001
16	3000	700	5.0	0.01
16	3000	700	5.0	0.1
0	3000	700	5.0	1.0
15	3000	700	25.0	0.001
16	3000	700	25.0	0.01
15	3000	700	25.0	0.1
0	3000	700	25.0	1.0
16	3000	700	125.0	0.001
20	3000	700	125.0	0.01
16	3000	700	125.0	0.1
0	3000	700	125.0	1.0
15	3000	800	1.0	0.001
16	3000	800	1.0	0.01
16	3000	800	1.0	0.1
0	3000	800	1.0	1.0
15	3000	800	5.0	0.001
16	3000	800	5.0	0.01
0	3000	800	5.0	0.1
19	3000	800	5.0	1.0
1	3000	800	25.0	0.001
16	3000	800	25.0	0.01
15	3000	800	25.0	0.1
0	3000	800	25.0	1.0
16	3000	800	125.0	0.001
16	3000	800	125.0	0.01
15	3000	800	125.0	0.1
0	3000	800	125.0	1.0
16	3000	900	1.0	0.001
19	3000	900	1.0	0.01
1	3000	900	1.0	0.1
16	3000	900	1.0	1.0
15	3000	900	5.0	0.001
0	3000	900	5.0	0.01
16	3000	900	5.0	0.1
0	3000	900	5.0	1.0
15	3000	900	25.0	0.001
16	3000	900	25.0	0.01
16	3000	900	25.0	0.1
0	3000	900	25.0	1.0
20	3000	900	125.0	0.001
16	3000	900	125.0	0.01
15	3000	900	125.0	0.1
0	3000	900	125.0	1.0
16	3000	1000	1.0	0.001
15	3000	1000	1.0	0.01
0	3000	1000	1.0	0.1
16	3000	1000	1.0	1.0
16	3000	1000	5.0	0.001
0	3000	1000	5.0	0.01
20	3000	1000	5.0	0.1
0	3000	1000	5.0	1.0
16	3000	1000	25.0	0.001
15	3000	1000	25.0	0.01
16	3000	1000	25.0	0.1
0	3000	1000	25.0	1.0
15	3000	1000	125.0	0.001
16	3000	1000	125.0	0.01
16	3000	1000	125.0	0.1
0	3000	1000	125.0	1.0
20	4000	100	1.0	0.001
16	4000	100	1.0	0.01
15	4000	100	1.0	0.1
16	4000	100	1.0	1.0
15	4000	100	5.0	0.001
20	4000	100	5.0	0.01
19	4000	100	5.0	0.1
4	4000	100	5.0	1.0
18	4000	100	25.0	0.001
5	4000	100	25.0	0.01
31	4000	100	25.0	0.1
0	4000	100	25.0	1.0
15	4000	100	125.0	0.001
16	4000	100	125.0	0.01
20	4000	100	125.0	0.1
0	4000	100	125.0	1.0
16	4000	200	1.0	0.001
31	4000	200	1.0	0.01
16	4000	200	1.0	0.1
0	4000	200	1.0	1.0
15	4000	200	5.0	0.001
16	4000	200	5.0	0.01
20	4000	200	5.0	0.1
0	4000	200	5.0	1.0
16	4000	200	25.0	0.001
31	4000	200	25.0	0.01
16	4000	200	25.0	0.1
0	4000	200	25.0	1.0
15	4000	200	125.0	0.001
16	4000	200	125.0	0.01
20	4000	200	125.0	0.1
0	4000	200	125.0	1.0
31	4000	300	1.0	0.001
16	4000	300	1.0	0.01
16	4000	300	1.0	0.1
0	4000	300	1.0	1.0
27	4000	300	5.0	0.001
18	4000	300	5.0	0.01
4	4000	300	5.0	0.1
15	4000	300	5.0	1.0
16	4000	300	25.0	0.001
15	4000	300	25.0	0.01
16	4000	300	25.0	0.1
0	4000	300	25.0	1.0
31	4000	300	125.0	0.001
21	4000	300	125.0	0.01
15	4000	300	125.0	0.1
0	4000	300	125.0	1.0
16	4000	400	1.0	0.001
15	4000	400	1.0	0.01
32	4000	400	1.0	0.1
0	4000	400	1.0	1.0
15	4000	400	5.0	0.001
21	4000	400	5.0	0.01
15	4000	400	5.0	0.1
0	4000	400	5.0	1.0
16	4000	400	25.0	0.001
31	4000	400	25.0	0.01
18	4000	400	25.0	0.1
3	4000	400	25.0	1.0
5	4000	400	125.0	0.001
20	4000	400	125.0	0.01
16	4000	400	125.0	0.1
15	4000	400	125.0	1.0
16	4000	500	1.0	0.001
16	4000	500	1.0	0.01
15	4000	500	1.0	0.1
0	4000	500	1.0	1.0
16	4000	500	5.0	0.001
20	4000	500	5.0	0.01
31	4000	500	5.0	0.1
0	4000	500	5.0	1.0
16	4000	500	25.0	0.001
16	4000	500	25.0	0.01
29	4000	500	25.0	0.1
5	4000	500	25.0	1.0
17	4000	500	125.0	0.001
13	4000	500	125.0	0.01
15	4000	500	125.0	0.1
0	4000	500	125.0	1.0
16	4000	600	1.0	0.001
31	4000	600	1.0	0.01
20	4000	600	1.0	0.1
0	4000	600	1.0	1.0
16	4000	600	5.0	0.001
16	4000	600	5.0	0.01
15	4000	600	5.0	0.1
16	4000	600	5.0	1.0
16	4000	600	25.0	0.001
15	4000	600	25.0	0.01
20	4000	600	25.0	0.1
0	4000	600	25.0	1.0
16	4000	600	125.0	0.001
16	4000	600	125.0	0.01
31	4000	600	125.0	0.1
0	4000	600	125.0	1.0
15	4000	700	1.0	0.001
16	4000	700	1.0	0.01
20	4000	700	1.0	0.1
16	4000	700	1.0	1.0
15	4000	700	5.0	0.001
16	4000	700	5.0	0.01
16	4000	700	5.0	0.1
0	4000	700	5.0	1.0
31	4000	700	25.0	0.001
20	4000	700	25.0	0.01
16	4000	700	25.0	0.1
0	4000	700	25.0	1.0
26	4000	700	125.0	0.001
19	4000	700	125.0	0.01
9	4000	700	125.0	0.1
0	4000	700	125.0	1.0
32	4000	800	1.0	0.001
4	4000	800	1.0	0.01
31	4000	800	1.0	0.1
0	4000	800	1.0	1.0
16	4000	800	5.0	0.001
15	4000	800	5.0	0.01
16	4000	800	5.0	0.1
15	4000	800	5.0	1.0
18	4000	800	25.0	0.001
4	4000	800	25.0	0.01
31	4000	800	25.0	0.1
0	4000	800	25.0	1.0
15	4000	800	125.0	0.001
16	4000	800	125.0	0.01
16	4000	800	125.0	0.1
15	4000	800	125.0	1.0
18	4000	900	1.0	0.001
18	4000	900	1.0	0.01
16	4000	900	1.0	0.1
0	4000	900	1.0	1.0
15	4000	900	5.0	0.001
16	4000	900	5.0	0.01
16	4000	900	5.0	0.1
15	4000	900	5.0	1.0
20	4000	900	25.0	0.001
16	4000	900	25.0	0.01
16	4000	900	25.0	0.1
0	4000	900	25.0	1.0
15	4000	900	125.0	0.001
16	4000	900	125.0	0.01
33	4000	900	125.0	0.1
5	4000	900	125.0	1.0
18	4000	1000	1.0	0.001
9	4000	1000	1.0	0.01
16	4000	1000	1.0	0.1
15	4000	1000	1.0	1.0
16	4000	1000	5.0	0.001
16	4000	1000	5.0	0.01
20	4000	1000	5.0	0.1
0	4000	1000	5.0	1.0
15	4000	1000	25.0	0.001
16	4000	1000	25.0	0.01
16	4000	1000	25.0	0.1
15	4000	1000	25.0	1.0
16	4000	1000	125.0	0.001
15	4000	1000	125.0	0.01
21	4000	1000	125.0	0.1
0	4000	1000	125.0	1.0
31	5000	100	1.0	0.001
15	5000	100	1.0	0.01
16	5000	100	1.0	0.1
16	5000	100	1.0	1.0
15	5000	100	5.0	0.001
20	5000	100	5.0	0.01
32	5000	100	5.0	0.1
0	5000	100	5.0	1.0
15	5000	100	25.0	0.001
31	5000	100	25.0	0.01
16	5000	100	25.0	0.1
16	5000	100	25.0	1.0
20	5000	100	125.0	0.001
15	5000	100	125.0	0.01
32	5000	100	125.0	0.1
0	5000	100	125.0	1.0
22	5000	200	1.0	0.001
21	5000	200	1.0	0.01
15	5000	200	1.0	0.1
16	5000	200	1.0	1.0
15	5000	200	5.0	0.001
20	5000	200	5.0	0.01
35	5000	200	5.0	0.1
3	5000	200	5.0	1.0
11	5000	200	25.0	0.001
31	5000	200	25.0	0.01
16	5000	200	25.0	0.1
0	5000	200	25.0	1.0
31	5000	200	125.0	0.001
20	5000	200	125.0	0.01
16	5000	200	125.0	0.1
16	5000	200	125.0	1.0
15	5000	300	1.0	0.001
16	5000	300	1.0	0.01
31	5000	300	1.0	0.1
0	5000	300	1.0	1.0
20	5000	300	5.0	0.001
32	5000	300	5.0	0.01
15	5000	300	5.0	0.1
16	5000	300	5.0	1.0
15	5000	300	25.0	0.001
31	5000	300	25.0	0.01
23	5000	300	25.0	0.1
4	5000	300	25.0	1.0
23	5000	300	125.0	0.001
16	5000	300	125.0	0.01
15	5000	300	125.0	0.1
18	5000	300	125.0	1.0
13	5000	400	1.0	0.001
32	5000	400	1.0	0.01
15	5000	400	1.0	0.1
0	5000	400	1.0	1.0
31	5000	400	5.0	0.001
21	5000	400	5.0	0.01
15	5000	400	5.0	0.1
16	5000	400	5.0	1.0
15	5000	400	25.0	0.001
32	5000	400	25.0	0.01
15	5000	400	25.0	0.1
0	5000	400	25.0	1.0
20	5000	400	125.0	0.001
32	5000	400	125.0	0.01
15	5000	400	125.0	0.1
16	5000	400	125.0	1.0
16	5000	500	1.0	0.001
15	5000	500	1.0	0.01
38	5000	500	1.0	0.1
5	5000	500	1.0	1.0
17	5000	500	5.0	0.001
16	5000	500	5.0	0.01
31	5000	500	5.0	0.1
0	5000	500	5.0	1.0
20	5000	500	25.0	0.001
31	5000	500	25.0	0.01
16	5000	500	25.0	0.1
0	5000	500	25.0	1.0
31	5000	500	125.0	0.001
30	5000	500	125.0	0.01
18	5000	500	125.0	0.1
0	5000	500	125.0	1.0
16	5000	600	1.0	0.001
31	5000	600	1.0	0.01
16	5000	600	1.0	0.1
20	5000	600	1.0	1.0
15	5000	600	5.0	0.001
16	5000	600	5.0	0.01
31	5000	600	5.0	0.1
0	5000	600	5.0	1.0
32	5000	600	25.0	0.001
20	5000	600	25.0	0.01
15	5000	600	25.0	0.1
16	5000	600	25.0	1.0
16	5000	600	125.0	0.001
25	5000	600	125.0	0.01
16	5000	600	125.0	0.1
17	5000	600	125.0	1.0
22	5000	700	1.0	0.001
24	5000	700	1.0	0.01
16	5000	700	1.0	0.1
0	5000	700	1.0	1.0
36	5000	700	5.0	0.001
8	5000	700	5.0	0.01
31	5000	700	5.0	0.1
0	5000	700	5.0	1.0
31	5000	700	25.0	0.001
26	5000	700	25.0	0.01
22	5000	700	25.0	0.1
6	5000	700	25.0	1.0
22	5000	700	125.0	0.001
10	5000	700	125.0	0.01
32	5000	700	125.0	0.1
0	5000	700	125.0	1.0
33	5000	800	1.0	0.001
18	5000	800	1.0	0.01
16	5000	800	1.0	0.1
15	5000	800	1.0	1.0
16	5000	800	5.0	0.001
16	5000	800	5.0	0.01
35	5000	800	5.0	0.1
0	5000	800	5.0	1.0
16	5000	800	25.0	0.001
31	5000	800	25.0	0.01
16	5000	800	25.0	0.1
0	5000	800	25.0	1.0
31	5000	800	125.0	0.001
20	5000	800	125.0	0.01
16	5000	800	125.0	0.1
15	5000	800	125.0	1.0
16	5000	900	1.0	0.001
16	5000	900	1.0	0.01
31	5000	900	1.0	0.1
0	5000	900	1.0	1.0
20	5000	900	5.0	0.001
32	5000	900	5.0	0.01
15	5000	900	5.0	0.1
0	5000	900	5.0	1.0
31	5000	900	25.0	0.001
16	5000	900	25.0	0.01
20	5000	900	25.0	0.1
16	5000	900	25.0	1.0
15	5000	900	125.0	0.001
32	5000	900	125.0	0.01
15	5000	900	125.0	0.1
0	5000	900	125.0	1.0
33	5000	1000	1.0	0.001
19	5000	1000	1.0	0.01
15	5000	1000	1.0	0.1
16	5000	1000	1.0	1.0
16	5000	1000	5.0	0.001
15	5000	1000	5.0	0.01
36	5000	1000	5.0	0.1
5	5000	1000	5.0	1.0
23	5000	1000	25.0	0.001
12	5000	1000	25.0	0.01
31	5000	1000	25.0	0.1
0	5000	1000	25.0	1.0
16	5000	1000	125.0	0.001
35	5000	1000	125.0	0.01
16	5000	1000	125.0	0.1
0	5000	1000	125.0	1.0
31	6000	100	1.0	0.001
32	6000	100	1.0	0.01
20	6000	100	1.0	0.1
15	6000	100	1.0	1.0
16	6000	100	5.0	0.001
31	6000	100	5.0	0.01
31	6000	100	5.0	0.1
0	6000	100	5.0	1.0
36	6000	100	25.0	0.001
16	6000	100	25.0	0.01
31	6000	100	25.0	0.1
0	6000	100	25.0	1.0
31	6000	100	125.0	0.001
21	6000	100	125.0	0.01
32	6000	100	125.0	0.1
0	6000	100	125.0	1.0
31	6000	200	1.0	0.001
31	6000	200	1.0	0.01
20	6000	200	1.0	0.1
16	6000	200	1.0	1.0
16	6000	200	5.0	0.001
31	6000	200	5.0	0.01
31	6000	200	5.0	0.1
0	6000	200	5.0	1.0
36	6000	200	25.0	0.001
16	6000	200	25.0	0.01
31	6000	200	25.0	0.1
0	6000	200	25.0	1.0
31	6000	200	125.0	0.001
20	6000	200	125.0	0.01
31	6000	200	125.0	0.1
0	6000	200	125.0	1.0
32	6000	300	1.0	0.001
31	6000	300	1.0	0.01
20	6000	300	1.0	0.1
16	6000	300	1.0	1.0
15	6000	300	5.0	0.001
31	6000	300	5.0	0.01
38	6000	300	5.0	0.1
4	6000	300	5.0	1.0
26	6000	300	25.0	0.001
21	6000	300	25.0	0.01
31	6000	300	25.0	0.1
0	6000	300	25.0	1.0
20	6000	300	125.0	0.001
32	6000	300	125.0	0.01
36	6000	300	125.0	0.1
4	6000	300	125.0	1.0
27	6000	400	1.0	0.001
18	6000	400	1.0	0.01
32	6000	400	1.0	0.1
0	6000	400	1.0	1.0
31	6000	400	5.0	0.001
15	6000	400	5.0	0.01
20	6000	400	5.0	0.1
0	6000	400	5.0	1.0
31	6000	400	25.0	0.001
32	6000	400	25.0	0.01
15	6000	400	25.0	0.1
17	6000	400	25.0	1.0
19	6000	400	125.0	0.001
31	6000	400	125.0	0.01
16	6000	400	125.0	0.1
15	6000	400	125.0	1.0
16	6000	500	1.0	0.001
36	6000	500	1.0	0.01
31	6000	500	1.0	0.1
0	6000	500	1.0	1.0
31	6000	500	5.0	0.001
16	6000	500	5.0	0.01
20	6000	500	5.0	0.1
0	6000	500	5.0	1.0
31	6000	500	25.0	0.001
32	6000	500	25.0	0.01
15	6000	500	25.0	0.1
18	6000	500	25.0	1.0
18	6000	500	125.0	0.001
31	6000	500	125.0	0.01
32	6000	500	125.0	0.1
0	6000	500	125.0	1.0
31	6000	600	1.0	0.001
20	6000	600	1.0	0.01
34	6000	600	1.0	0.1
0	6000	600	1.0	1.0
31	6000	600	5.0	0.001
20	6000	600	5.0	0.01
36	6000	600	5.0	0.1
5	6000	600	5.0	1.0
24	6000	600	25.0	0.001
31	6000	600	25.0	0.01
20	6000	600	25.0	0.1
0	6000	600	25.0	1.0
31	6000	600	125.0	0.001
32	6000	600	125.0	0.01
31	6000	600	125.0	0.1
0	6000	600	125.0	1.0
35	6000	700	1.0	0.001
16	6000	700	1.0	0.01
31	6000	700	1.0	0.1
16	6000	700	1.0	1.0
16	6000	700	5.0	0.001
35	6000	700	5.0	0.01
32	6000	700	5.0	0.1
0	6000	700	5.0	1.0
31	6000	700	25.0	0.001
31	6000	700	25.0	0.01
20	6000	700	25.0	0.1
0	6000	700	25.0	1.0
31	6000	700	125.0	0.001
32	6000	700	125.0	0.01
15	6000	700	125.0	0.1
20	6000	700	125.0	1.0
16	6000	800	1.0	0.001
31	6000	800	1.0	0.01
32	6000	800	1.0	0.1
0	6000	800	1.0	1.0
33	6000	800	5.0	0.001
18	6000	800	5.0	0.01
31	6000	800	5.0	0.1
0	6000	800	5.0	1.0
31	6000	800	25.0	0.001
32	6000	800	25.0	0.01
20	6000	800	25.0	0.1
0	6000	800	25.0	1.0
31	6000	800	125.0	0.001
31	6000	800	125.0	0.01
33	6000	800	125.0	0.1
3	6000	800	125.0	1.0
16	6000	900	1.0	0.001
31	6000	900	1.0	0.01
31	6000	900	1.0	0.1
0	6000	900	1.0	1.0
35	6000	900	5.0	0.001
22	6000	900	5.0	0.01
31	6000	900	5.0	0.1
0	6000	900	5.0	1.0
33	6000	900	25.0	0.001
27	6000	900	25.0	0.01
16	6000	900	25.0	0.1
16	6000	900	25.0	1.0
16	6000	900	125.0	0.001
36	6000	900	125.0	0.01
16	6000	900	125.0	0.1
16	6000	900	125.0	1.0
15	6000	1000	1.0	0.001
32	6000	1000	1.0	0.01
35	6000	1000	1.0	0.1
0	6000	1000	1.0	1.0
32	6000	1000	5.0	0.001
15	6000	1000	5.0	0.01
31	6000	1000	5.0	0.1
0	6000	1000	5.0	1.0
36	6000	1000	25.0	0.001
16	6000	1000	25.0	0.01
31	6000	1000	25.0	0.1
0	6000	1000	25.0	1.0
31	6000	1000	125.0	0.001
36	6000	1000	125.0	0.01
16	6000	1000	125.0	0.1
15	6000	1000	125.0	1.0
32	7000	100	1.0	0.001
31	7000	100	1.0	0.01
20	7000	100	1.0	0.1
16	7000	100	1.0	1.0
31	7000	100	5.0	0.001
32	7000	100	5.0	0.01
23	7000	100	5.0	0.1
0	7000	100	5.0	1.0
31	7000	100	25.0	0.001
31	7000	100	25.0	0.01
48	7000	100	25.0	0.1
3	7000	100	25.0	1.0
32	7000	100	125.0	0.001
31	7000	100	125.0	0.01
31	7000	100	125.0	0.1
0	7000	100	125.0	1.0
37	7000	200	1.0	0.001
24	7000	200	1.0	0.01
31	7000	200	1.0	0.1
0	7000	200	1.0	1.0
36	7000	200	5.0	0.001
31	7000	200	5.0	0.01
32	7000	200	5.0	0.1
0	7000	200	5.0	1.0
31	7000	200	25.0	0.001
36	7000	200	25.0	0.01
31	7000	200	25.0	0.1
0	7000	200	25.0	1.0
31	7000	200	125.0	0.001
36	7000	200	125.0	0.01
31	7000	200	125.0	0.1
0	7000	200	125.0	1.0
31	7000	300	1.0	0.001
32	7000	300	1.0	0.01
35	7000	300	1.0	0.1
0	7000	300	1.0	1.0
32	7000	300	5.0	0.001
31	7000	300	5.0	0.01
36	7000	300	5.0	0.1
0	7000	300	5.0	1.0
47	7000	300	25.0	0.001
20	7000	300	25.0	0.01
39	7000	300	25.0	0.1
0	7000	300	25.0	1.0
32	7000	300	125.0	0.001
39	7000	300	125.0	0.01
30	7000	300	125.0	0.1
0	7000	300	125.0	1.0
32	7000	400	1.0	0.001
31	7000	400	1.0	0.01
31	7000	400	1.0	0.1
0	7000	400	1.0	1.0
36	7000	400	5.0	0.001
31	7000	400	5.0	0.01
31	7000	400	5.0	0.1
0	7000	400	5.0	1.0
43	7000	400	25.0	0.001
33	7000	400	25.0	0.01
19	7000	400	25.0	0.1
15	7000	400	25.0	1.0
32	7000	400	125.0	0.001
20	7000	400	125.0	0.01
31	7000	400	125.0	0.1
16	7000	400	125.0	1.0
31	7000	500	1.0	0.001
20	7000	500	1.0	0.01
31	7000	500	1.0	0.1
16	7000	500	1.0	1.0
31	7000	500	5.0	0.001
33	7000	500	5.0	0.01
34	7000	500	5.0	0.1
0	7000	500	5.0	1.0
31	7000	500	25.0	0.001
31	7000	500	25.0	0.01
36	7000	500	25.0	0.1
0	7000	500	25.0	1.0
31	7000	500	125.0	0.001
32	7000	500	125.0	0.01
34	7000	500	125.0	0.1
1	7000	500	125.0	1.0
32	7000	600	1.0	0.001
31	7000	600	1.0	0.01
35	7000	600	1.0	0.1
5	7000	600	1.0	1.0
27	7000	600	5.0	0.001
31	7000	600	5.0	0.01
39	7000	600	5.0	0.1
2	7000	600	5.0	1.0
31	7000	600	25.0	0.001
22	7000	600	25.0	0.01
31	7000	600	25.0	0.1
20	7000	600	25.0	1.0
16	7000	600	125.0	0.001
31	7000	600	125.0	0.01
31	7000	600	125.0	0.1
16	7000	600	125.0	1.0
37	7000	700	1.0	0.001
